# t (s)	mx	my	mz
2.013862e-11	9.552586e-01	1.623396e-01	-2.454011e-02
4.027511e-11	9.133550e-01	2.617916e-01	-4.539110e-02
6.040313e-11	8.292137e-01	3.980266e-01	-6.078931e-02
8.058199e-11	6.972729e-01	5.423102e-01	-7.224232e-02
1.006926e-10	5.146194e-01	6.689987e-01	-8.514067e-02
1.202944e-10	2.763818e-01	7.462325e-01	-1.058507e-01
1.406771e-10	-3.544157e-02	7.237389e-01	-1.355696e-01
1.602167e-10	-3.553580e-01	5.688986e-01	-1.592982e-01
1.804864e-10	-6.423770e-01	2.841524e-01	-1.689420e-01
2.001518e-10	-8.177432e-01	-6.763317e-02	-1.526789e-01
2.205762e-10	-8.364763e-01	-4.110632e-01	-9.293827e-02
2.406717e-10	-7.218092e-01	-4.815447e-01	-8.981546e-03
2.605030e-10	-6.608486e-01	-3.002643e-01	4.370093e-02
2.802121e-10	-6.634326e-01	-1.037853e-01	6.280865e-02
3.005364e-10	-7.489709e-01	-6.760137e-03	6.984524e-02
3.205702e-10	-9.182341e-01	9.600657e-02	7.670500e-02
3.402204e-10	-8.597855e-01	2.633081e-01	6.246138e-02
3.605991e-10	-6.991448e-01	3.015711e-01	3.429883e-02
3.804843e-10	-6.886700e-01	3.500856e-01	5.292310e-03
4.004135e-10	-7.837917e-01	4.079526e-01	-3.175946e-02
4.205829e-10	-8.946914e-01	3.054290e-01	-7.059702e-02
4.404304e-10	-9.137234e-01	7.195818e-02	-8.417049e-02
4.600603e-10	-8.684853e-01	-1.312155e-01	-5.938754e-02
4.806001e-10	-8.577434e-01	-2.548434e-01	-7.738483e-03
5.003940e-10	-9.233357e-01	-2.180312e-01	5.046771e-02
5.200756e-10	-9.397828e-01	-2.249400e-03	8.180029e-02
5.405905e-10	-8.797226e-01	2.480981e-01	7.398437e-02
5.604415e-10	-8.284031e-01	4.222555e-01	3.312704e-02
5.807035e-10	-8.563177e-01	4.516063e-01	-2.618967e-02
6.004676e-10	-9.152045e-01	2.952758e-01	-7.007844e-02
6.202721e-10	-9.139281e-01	4.848376e-02	-7.118354e-02
6.404841e-10	-8.938716e-01	-1.217557e-01	-3.038327e-02
6.601950e-10	-9.287383e-01	-1.360368e-01	2.241691e-02
6.806315e-10	-9.717676e-01	1.384974e-02	5.895996e-02
7.004557e-10	-9.424189e-01	2.113744e-01	5.317145e-02
7.202516e-10	-9.066729e-01	3.344524e-01	1.820504e-02
7.400804e-10	-9.240565e-01	3.254459e-01	-2.779243e-02
7.605670e-10	-9.632751e-01	1.636033e-01	-6.160605e-02
7.801025e-10	-9.747516e-01	-4.522252e-02	-5.581085e-02
8.002401e-10	-9.606430e-01	-1.664600e-01	-9.788915e-03
8.206723e-10	-9.674631e-01	-1.056802e-01	4.405445e-02
8.402510e-10	-9.755024e-01	9.022822e-02	6.691756e-02
8.602234e-10	-9.434162e-01	2.963047e-01	4.843050e-02
8.800060e-10	-9.139504e-01	3.865557e-01	4.921239e-03
9.004601e-10	-9.324909e-01	3.245287e-01	-3.837940e-02
9.202116e-10	-9.652912e-01	1.571097e-01	-5.488599e-02
9.404795e-10	-9.703298e-01	-1.345647e-02	-3.760595e-02
9.600271e-10	-9.698123e-01	-7.594806e-02	-2.427382e-04
9.803608e-10	-9.848020e-01	-6.235913e-03	3.483618e-02
1.000200e-09	-9.832850e-01	1.384381e-01	4.254550e-02
