mesh_n,cell_nm,dt_s,Jc0_A_per_m2,J_A_per_m2,J_over_Jc0,n_switched,N_trials,P_sw
8,10.0,1e-13,750000000000.0,524999999999.99994,0.7,0,128,0.0
8,10.0,1e-13,750000000000.0,543750000000.0,0.725,0,128,0.0
8,10.0,1e-13,750000000000.0,562500000000.0,0.75,3,128,0.0234375
8,10.0,1e-13,750000000000.0,581250000000.0,0.775,19,128,0.1484375
8,10.0,1e-13,750000000000.0,600000000000.0,0.8,70,128,0.546875
8,10.0,1e-13,750000000000.0,618750000000.0,0.825,116,128,0.90625
8,10.0,1e-13,750000000000.0,637500000000.0,0.85,127,128,0.9921875
8,10.0,1e-13,750000000000.0,656250000000.0,0.875,128,128,1.0
8,10.0,1e-13,750000000000.0,675000000000.0,0.9,128,128,1.0
8,10.0,1e-13,750000000000.0,693750000000.0,0.925,128,128,1.0
8,10.0,1e-13,750000000000.0,712500000000.0,0.95,128,128,1.0
8,10.0,1e-13,750000000000.0,731250000000.0,0.975,128,128,1.0
8,10.0,1e-13,750000000000.0,750000000000.0,1.0,128,128,1.0
8,10.0,1e-13,750000000000.0,768749999999.9999,1.025,128,128,1.0
8,10.0,1e-13,750000000000.0,787500000000.0,1.05,128,128,1.0
16,5.0,1e-13,600000000000.0,420000000000.0,0.7,0,128,0.0
16,5.0,1e-13,600000000000.0,435000000000.0,0.725,0,128,0.0
16,5.0,1e-13,600000000000.0,450000000000.0,0.75,0,128,0.0
16,5.0,1e-13,600000000000.0,465000000000.0,0.775,0,128,0.0
16,5.0,1e-13,600000000000.0,480000000000.0,0.8,7,128,0.0546875
16,5.0,1e-13,600000000000.0,495000000000.0,0.825,28,128,0.21875
16,5.0,1e-13,600000000000.0,510000000000.0,0.85,46,128,0.359375
16,5.0,1e-13,600000000000.0,525000000000.0,0.875,84,128,0.65625
16,5.0,1e-13,600000000000.0,540000000000.0,0.9,100,128,0.78125
16,5.0,1e-13,600000000000.0,555000000000.0,0.925,123,128,0.9609375
16,5.0,1e-13,600000000000.0,570000000000.0,0.95,123,128,0.9609375
16,5.0,1e-13,600000000000.0,585000000000.0,0.975,128,128,1.0
16,5.0,1e-13,600000000000.0,600000000000.0,1.0,128,128,1.0
16,5.0,1e-13,600000000000.0,615000000000.0,1.025,128,128,1.0
16,5.0,1e-13,600000000000.0,630000000000.0,1.05,128,128,1.0
32,2.5,5e-14,600000000000.0,420000000000.0,0.7,0,96,0.0
32,2.5,5e-14,600000000000.0,435000000000.0,0.725,4,96,0.041666666666666664
32,2.5,5e-14,600000000000.0,450000000000.0,0.75,13,96,0.13541666666666666
32,2.5,5e-14,600000000000.0,465000000000.0,0.775,24,96,0.25
32,2.5,5e-14,600000000000.0,480000000000.0,0.8,57,96,0.59375
32,2.5,5e-14,600000000000.0,495000000000.0,0.825,75,96,0.78125
32,2.5,5e-14,600000000000.0,510000000000.0,0.85,86,96,0.8958333333333334
32,2.5,5e-14,600000000000.0,525000000000.0,0.875,93,96,0.96875
32,2.5,5e-14,600000000000.0,540000000000.0,0.9,93,96,0.96875
32,2.5,5e-14,600000000000.0,555000000000.0,0.925,92,96,0.9583333333333334
32,2.5,5e-14,600000000000.0,570000000000.0,0.95,95,96,0.9895833333333334
32,2.5,5e-14,600000000000.0,585000000000.0,0.975,96,96,1.0
32,2.5,5e-14,600000000000.0,600000000000.0,1.0,95,96,0.9895833333333334
32,2.5,5e-14,600000000000.0,615000000000.0,1.025,96,96,1.0
32,2.5,5e-14,600000000000.0,630000000000.0,1.05,96,96,1.0
64,1.25,1.25e-14,600000000000.0,420000000000.0,0.7,4,64,0.0625
64,1.25,1.25e-14,600000000000.0,435000000000.0,0.725,8,64,0.125
64,1.25,1.25e-14,600000000000.0,450000000000.0,0.75,15,64,0.234375
64,1.25,1.25e-14,600000000000.0,465000000000.0,0.775,21,64,0.328125
64,1.25,1.25e-14,600000000000.0,480000000000.0,0.8,33,64,0.515625
64,1.25,1.25e-14,600000000000.0,495000000000.0,0.825,47,64,0.734375
64,1.25,1.25e-14,600000000000.0,510000000000.0,0.85,46,64,0.71875
64,1.25,1.25e-14,600000000000.0,525000000000.0,0.875,51,64,0.796875
64,1.25,1.25e-14,600000000000.0,540000000000.0,0.9,61,64,0.953125
64,1.25,1.25e-14,600000000000.0,555000000000.0,0.925,61,64,0.953125
64,1.25,1.25e-14,600000000000.0,570000000000.0,0.95,61,64,0.953125
64,1.25,1.25e-14,600000000000.0,585000000000.0,0.975,63,64,0.984375
64,1.25,1.25e-14,600000000000.0,600000000000.0,1.0,63,64,0.984375
64,1.25,1.25e-14,600000000000.0,615000000000.0,1.025,64,64,1.0
64,1.25,1.25e-14,600000000000.0,630000000000.0,1.05,64,64,1.0
