H_mT,mx,my,mz,E_aJ
1.000000000000000000e+02,9.995476245427693529e-01,-2.981555974335137194e-19,-7.578355851995681128e-16,-1.979385203564642737e+01
9.500000000000000000e+01,9.995118571716735678e-01,-5.014435047745458007e-19,-7.614269288111881837e-16,-1.874576878633872568e+01
9.000000000000000000e+01,9.994716362625823969e-01,-1.084202172485504434e-18,-7.653444670109428342e-16,-1.769772530445728620e+01
8.500000000000000000e+01,9.994262050416070631e-01,-1.856696220381426343e-18,-7.690366272475674534e-16,-1.664972666378166366e+01
8.000000000000000000e+01,9.993746447008504674e-01,5.421010862427522170e-20,-7.728249171867158282e-16,-1.560177877621448239e+01
7.500000000000000000e+01,9.993158331271421169e-01,1.057097118173366823e-18,-7.766049378576745988e-16,-1.455388866102954637e+01
7.000000000000000000e+01,9.992483916822989531e-01,-1.605974467994153443e-18,-7.805470657384741587e-16,-1.350606459479763188e+01
6.500000000000000000e+01,9.991706164950625579e-01,-7.589415207398531038e-19,-7.843940009229816376e-16,-1.245831650680242220e+01
6.000000000000000000e+01,9.990803894712760869e-01,4.472333961502705790e-19,-7.883547937199053566e-16,-1.141065628862345527e+01
5.500000000000000000e+01,9.989750631774954037e-01,1.355252715606880543e-20,-7.922165057231771129e-16,-1.036309833982391382e+01
5.000000000000000000e+01,9.988513122851994108e-01,-1.856696220381426343e-18,-7.959817701381102624e-16,-9.315660160556307190e+00
4.500000000000000000e+01,9.987049432457741904e-01,-4.472333961502705790e-19,-8.002258759858693928e-16,-8.268363203358768843e+00
4.000000000000000000e+01,9.985306533903753889e-01,-4.607859233063393845e-19,-8.040442755100983317e-16,-7.221233839960421896e+00
3.500000000000000000e+01,9.983217321964532598e-01,-7.860465750519907147e-19,-8.079577890467801438e-16,-6.174304729489092480e+00
3.000000000000000000e+01,9.980697021826199222e-01,-2.687466135048444116e-17,-8.118251671817815003e-16,-5.127616465954345948e+00
2.500000000000000000e+01,9.977639071914681246e-01,-2.209373634563804867e-15,-7.837169456000294960e-16,-4.081219618118852033e+00
2.000000000000000000e+01,9.973910726661301407e-01,-1.707276261011560214e-12,3.762082938537835948e-14,-3.035177288235946680e+00
1.500000000000000000e+01,9.969348793067447367e-01,-1.094966521104781890e-08,3.259911616965666951e-10,-1.989568047504968407e+00
1.000000000000000000e+01,9.790261166517717495e-01,-4.522346904047664859e-08,-3.465764668779323938e-09,-9.816309778536558284e-01
5.000000000000000000e+00,9.721808126941271500e-01,-6.453713431719965143e-17,-8.098142440265342672e-16,4.148198575538191574e-02
0.000000000000000000e+00,9.634786304016335068e-01,-8.142358315366138299e-17,-8.054172891094344878e-16,1.056525113621639367e+00
-5.000000000000000000e+00,9.518563641192557823e-01,-9.974659986866640793e-17,-8.002478982962276049e-16,2.061033091784887805e+00
-1.000000000000000000e+01,9.352587294551458763e-01,-1.512462030617278685e-16,-7.900833534837310447e-16,3.051001774151711032e+00
-1.500000000000000000e+01,9.086777386657172162e-01,-2.310434829566609949e-16,-7.711078672381005562e-16,4.019027793840924012e+00
-2.000000000000000000e+01,8.529500159313653240e-01,-5.930585883495709254e-16,-7.292015594108272142e-16,4.947282669050157011e+00
-2.500000000000000000e+01,-7.512384555850150081e-01,8.070360514849522771e-17,6.131870293218688898e-16,5.763452258908688952e-01
-3.000000000000000000e+01,-7.713688679999446407e-01,-3.201106914263451841e-16,6.244880668035194101e-16,-2.224489344648653277e-01
-3.500000000000000000e+01,-7.862656721027392326e-01,-1.111618934922231627e-15,6.293253627774478623e-16,-1.040348615821964806e+00
-4.000000000000000000e+01,-7.978598412083456326e-01,-4.125524791578905059e-16,6.364916823748987965e-16,-1.871052702875205531e+00
-4.500000000000000000e+01,-8.078665930620558822e-01,-1.785816503355186491e-16,6.382663030885709861e-16,-2.713050190182285881e+00
-5.000000000000000000e+01,-8.165442073225883668e-01,-9.467795471229667470e-17,6.396436787173488547e-16,-3.564810417431985901e+00
-5.500000000000000000e+01,-8.241846230652051242e-01,-5.808613139091090005e-17,6.398651703071847677e-16,-4.425105950456673654e+00
-6.000000000000000000e+01,-8.309834381862579722e-01,-3.386776536301594476e-17,6.388777466403418373e-16,-5.292957246981004005e+00
-6.500000000000000000e+01,-8.370861924247390284e-01,-2.292409968449038438e-17,6.382749497092959923e-16,-6.167561620754803187e+00
-7.000000000000000000e+01,-8.426049667093084006e-01,-1.166194961779720707e-17,6.363970304937744569e-16,-7.048250391044241780e+00
-7.500000000000000000e+01,-8.476279417854272191e-01,-1.082169293412094113e-17,6.343855509829211341e-16,-7.934459214473981170e+00
-8.000000000000000000e+01,-8.522256625657526063e-01,-5.536207343254107016e-18,6.317908698624169372e-16,-8.825706537937112017e+00
-8.500000000000000000e+01,-8.564553624455035763e-01,-9.486769009248163798e-19,6.278672723807255944e-16,-9.721577456367526793e+00
-9.000000000000000000e+01,-8.603640432507809743e-01,-6.776263578034402713e-21,6.245385718825849454e-16,-1.062171150382247475e+01
-9.500000000000000000e+01,-8.639907204129665397e-01,-9.757819552369539906e-19,6.199652806464192066e-16,-1.152579313315569998e+01
-1.000000000000000000e+02,-8.673680910753501783e-01,2.981555974335137194e-18,6.143598743738953096e-16,-1.243354429033649211e+01
