H_mT,mx,my,mag
150.0000,0.9929,0.0004,0.9929
145.0000,0.9923,0.0003,0.9923
140.0000,0.9916,0.0002,0.9916
135.0000,0.9909,0.0002,0.9909
130.0000,0.9901,0.0002,0.9901
125.0000,0.9893,0.0001,0.9893
120.0000,0.9884,0.0001,0.9884
115.0000,0.9875,0.0001,0.9875
110.0000,0.9865,0.0001,0.9865
105.0000,0.9854,0.0001,0.9854
100.0000,0.9842,0.0001,0.9842
95.0000,0.9829,0.0001,0.9829
90.0000,0.9815,0.0001,0.9815
85.0000,0.9799,0.0001,0.9799
80.0000,0.9783,0.0001,0.9783
75.0000,0.9764,0.0001,0.9764
70.0000,0.9744,0.0001,0.9744
65.0000,0.9721,0.0001,0.9721
60.0000,0.9696,0.0001,0.9696
55.0000,0.9667,0.0001,0.9667
50.0000,0.9635,0.0001,0.9635
45.0000,0.9598,0.0001,0.9598
40.0000,0.9555,0.0001,0.9555
35.0000,0.9506,0.0001,0.9506
30.0000,0.9448,0.0001,0.9448
25.0000,0.9379,0.0001,0.9379
20.0000,0.9295,0.0001,0.9295
15.0000,0.9182,0.0001,0.9182
10.0000,0.9043,0.0001,0.9043
5.0000,0.8860,0.0001,0.8860
0.0000,0.8586,0.0001,0.8586
-5.0000,0.8132,-0.0015,0.8132
-10.0000,0.6420,-0.0773,0.6466
-15.0000,0.4193,0.0170,0.4196
-20.0000,-0.5767,0.0925,0.5840
-25.0000,-0.9203,0.1532,0.9330
-30.0000,-0.9323,0.1369,0.9423
-35.0000,-0.9410,0.1255,0.9493
-40.0000,-0.9489,0.1127,0.9556
-45.0000,-0.9550,0.1030,0.9605
-50.0000,-0.9603,0.0932,0.9648
-55.0000,-0.9663,0.0620,0.9683
-60.0000,-0.9696,0.0298,0.9700
-65.0000,-0.9721,0.0131,0.9722
-70.0000,-0.9744,0.0055,0.9744
-75.0000,-0.9764,0.0027,0.9764
-80.0000,-0.9783,0.0022,0.9783
-85.0000,-0.9800,0.0019,0.9800
-90.0000,-0.9815,0.0016,0.9815
-95.0000,-0.9829,0.0013,0.9829
-100.0000,-0.9842,0.0010,0.9842
-105.0000,-0.9854,0.0008,0.9854
-110.0000,-0.9865,0.0007,0.9865
-115.0000,-0.9875,0.0005,0.9875
-120.0000,-0.9884,0.0004,0.9884
-125.0000,-0.9893,0.0003,0.9893
-130.0000,-0.9901,0.0002,0.9901
-135.0000,-0.9909,0.0002,0.9909
-140.0000,-0.9916,0.0001,0.9916
-145.0000,-0.9923,0.0001,0.9923
-150.0000,-0.9929,0.0001,0.9929
