J_1e12_Am2,mx_final,switched
-1.000000000000000056e-01,-9.065341627302401228e-01,0.000000000000000000e+00
-2.999999999999999889e-01,-9.620317239279440047e-01,0.000000000000000000e+00
-5.000000000000000000e-01,-6.820446899978107602e-01,0.000000000000000000e+00
-6.999999999999999556e-01,-3.932054041836477998e-01,0.000000000000000000e+00
-9.000000000000000222e-01,7.448705381184284047e-01,1.000000000000000000e+00
-1.100000000000000089e+00,7.928140498513113199e-01,1.000000000000000000e+00
-1.300000000000000044e+00,4.655122147929242060e-01,0.000000000000000000e+00
-1.500000000000000000e+00,9.705043558546466720e-01,1.000000000000000000e+00
-1.699999999999999956e+00,9.846412244285425164e-01,1.000000000000000000e+00
-1.899999999999999911e+00,9.337370189127601749e-01,1.000000000000000000e+00
-2.100000000000000089e+00,9.074265189685060129e-01,1.000000000000000000e+00
-2.299999999999999822e+00,9.896656237098926390e-01,1.000000000000000000e+00
-2.500000000000000000e+00,9.938482006424405046e-01,1.000000000000000000e+00
-2.700000000000000178e+00,9.932055591207415990e-01,1.000000000000000000e+00
-2.899999999999999911e+00,9.941909557631504191e-01,1.000000000000000000e+00
-3.100000000000000089e+00,9.957010543119628743e-01,1.000000000000000000e+00
-3.299999999999999822e+00,9.967082848319922528e-01,1.000000000000000000e+00
