t_ns,mx,my,mz
0.000000000000000000e+00,-9.987491892373577818e-01,5.000044595594801966e-02,-1.576270676435160534e-05
5.000000000000000104e-03,-9.983641939268618204e-01,5.592330266074439088e-02,-1.718540931576580371e-03
1.000000000000000021e-02,-9.977831656802724769e-01,6.093834023713125964e-02,-3.499139733288505073e-03
1.499999999999999944e-02,-9.967708885355035520e-01,6.485258373304395030e-02,-5.150187819588103628e-03
2.000000000000000042e-02,-9.948670679148123863e-01,6.758781000940836114e-02,-6.496581752834630109e-03
2.500000000000000139e-02,-9.913859048634664495e-01,6.914157708902571309e-02,-7.419306181372264074e-03
2.999999999999999889e-02,-9.855039791757508327e-01,6.949420912263715167e-02,-7.895988417221963193e-03
3.500000000000000333e-02,-9.765656147932932907e-01,6.853638893179239688e-02,-8.052199916892417361e-03
4.000000000000000083e-02,-9.646193970501779624e-01,6.618390494268028279e-02,-7.960694784931736726e-03
4.499999999999999833e-02,-9.509997272593999629e-01,6.262174194971914520e-02,-7.643475560996438808e-03
5.000000000000000278e-02,-9.379904134461096721e-01,5.883402134113791676e-02,-6.960137425657098031e-03
5.500000000000000722e-02,-9.278057692938136425e-01,5.655534065781990527e-02,-5.459383163448116964e-03
5.999999999999999778e-02,-9.217621675043196072e-01,5.797251464894020989e-02,-2.546311435889897848e-03
6.500000000000000222e-02,-9.198041083685803976e-01,6.546467554994682414e-02,2.264093933359595349e-03
7.000000000000000666e-02,-9.202176224445171027e-01,8.135359604533629052e-02,8.949717739285710169e-03
7.499999999999999722e-02,-9.193030811954373549e-01,1.066293014656930493e-01,1.703312126343595537e-02
8.000000000000000167e-02,-9.117201402936171428e-01,1.394105565427129212e-01,2.549870635496552518e-02
8.500000000000000611e-02,-8.929662023674722615e-01,1.761237697913526357e-01,3.316718831303506337e-02
8.999999999999999667e-02,-8.608680806197885893e-01,2.145562519368334753e-01,3.982383045441401093e-02
9.500000000000000111e-02,-8.149333173490670434e-01,2.559892020637218324e-01,4.583211576641439688e-02
1.000000000000000056e-01,-7.559469040021883357e-01,3.044071704449222704e-01,5.148686242687838116e-02
1.049999999999999961e-01,-6.853380169857473669e-01,3.630828969202369305e-01,5.739151830643855756e-02
1.100000000000000144e-01,-6.060324244601847932e-01,4.308204336918464161e-01,6.479868210368772141e-02
1.150000000000000050e-01,-5.189962076280260073e-01,5.035731588758857180e-01,7.467422295466914772e-02
1.199999999999999956e-01,-4.186127204776857735e-01,5.754476751595050121e-01,8.633714057827153454e-02
1.250000000000000000e-01,-2.993670708654072588e-01,6.350877771306243647e-01,9.655544942293876887e-02
1.300000000000000044e-01,-1.657224327103900274e-01,6.731806565773155171e-01,1.021342637122265862e-01
1.350000000000000089e-01,-2.735878231963280449e-02,6.944372256439862445e-01,1.037140830872441133e-01
1.400000000000000133e-01,1.135811929653724461e-01,7.083675868816672327e-01,1.060248140915865944e-01
1.450000000000000178e-01,2.569925759736114146e-01,7.103459030917868011e-01,1.124203936901036760e-01
1.499999999999999944e-01,3.963634278622107376e-01,6.902319488355410648e-01,1.221415253870846984e-01
1.549999999999999989e-01,5.251389072387473433e-01,6.405759510713709970e-01,1.310839697487619915e-01
1.600000000000000033e-01,6.348485315323325606e-01,5.601202092684340883e-01,1.350723638543238903e-01
1.650000000000000078e-01,7.217278711684506076e-01,4.610958898282707663e-01,1.337438571125638964e-01
1.700000000000000122e-01,7.893583843329440297e-01,3.559071955272497534e-01,1.293526585811144158e-01
1.750000000000000167e-01,8.398700284607560906e-01,2.497785980898305225e-01,1.245128702678272581e-01
1.799999999999999933e-01,8.731767391685982815e-01,1.431017750410310541e-01,1.209678373939856999e-01
1.849999999999999978e-01,8.878140652874955130e-01,4.180459533439565001e-02,1.157184705723651175e-01
1.900000000000000022e-01,8.926113936579895825e-01,-4.169676447490764520e-02,1.088906308926058525e-01
1.950000000000000067e-01,9.000088425216035137e-01,-1.067116014320346890e-01,1.024400757229129294e-01
2.000000000000000111e-01,9.107956871376471364e-01,-1.603810009874966913e-01,9.504256136440197844e-02
2.050000000000000155e-01,9.211107698137402933e-01,-2.047141660924700346e-01,8.451542033994093039e-02
2.099999999999999922e-01,9.286046488296757495e-01,-2.370455295373771198e-01,7.152202289977599436e-02
2.149999999999999967e-01,9.339287923866609331e-01,-2.570185416290458602e-01,5.829964703992684266e-02
2.200000000000000289e-01,9.393108227767072993e-01,-2.659249066655056115e-01,4.659013661407596790e-02
2.250000000000000056e-01,9.451145831503913186e-01,-2.654068208710804178e-01,3.648515262686863325e-02
2.300000000000000100e-01,9.499845105070964246e-01,-2.571985516194267296e-01,2.804894910650818432e-02
2.350000000000000144e-01,9.534619539670149413e-01,-2.443537215404519014e-01,2.164231774819459775e-02
2.399999999999999911e-01,9.567088441730255965e-01,-2.299133201620347233e-01,1.736863495654229067e-02
2.450000000000000233e-01,9.599975364124897492e-01,-2.153308461092480752e-01,1.521780480274363516e-02
2.500000000000000000e-01,9.629645636507622175e-01,-2.015047545467214263e-01,1.485162386107569295e-02
2.550000000000000044e-01,9.658807861883543788e-01,-1.889249694906741384e-01,1.551515829418078155e-02
2.600000000000000089e-01,9.689228033421569686e-01,-1.777099580824454128e-01,1.605239709716452592e-02
2.650000000000000133e-01,9.717218136925667160e-01,-1.677289351631713887e-01,1.589421507580907403e-02
2.700000000000000178e-01,9.739501807310125825e-01,-1.586456507088984114e-01,1.519311041910099622e-02
2.750000000000000222e-01,9.756034444851208187e-01,-1.501840872289318118e-01,1.433347827945261228e-02
2.800000000000000266e-01,9.769604919338792381e-01,-1.421892164577584772e-01,1.355732361613612956e-02
2.849999999999999756e-01,9.782616973578450725e-01,-1.346707945345352875e-01,1.290290344176095970e-02
2.900000000000000355e-01,9.795561978629855338e-01,-1.276329175023508122e-01,1.236416421886406443e-02
2.950000000000000400e-01,9.808083417956409145e-01,-1.211354589148404826e-01,1.189008002071793857e-02
2.999999999999999889e-01,9.820056019315945850e-01,-1.152965440823061766e-01,1.154215877978310642e-02
3.050000000000000488e-01,9.831813813472948249e-01,-1.101358633399046189e-01,1.142785137809675805e-02
3.099999999999999978e-01,9.843397251107678381e-01,-1.056269001580545652e-01,1.155494350947847484e-02
3.150000000000000022e-01,9.854574111667466774e-01,-1.017020325789824570e-01,1.179274241878606674e-02
3.200000000000000067e-01,9.865146845530107234e-01,-9.828484842382000097e-02,1.198439440395604634e-02
3.250000000000000111e-01,9.874939680164314115e-01,-9.528786575601708164e-02,1.205577634907031674e-02
3.300000000000000155e-01,9.883740032176895340e-01,-9.261925020374764395e-02,1.197888048834529900e-02
3.350000000000000200e-01,9.891426124309012913e-01,-9.019527202846924774e-02,1.180252214486676200e-02
3.400000000000000244e-01,9.897961665440325740e-01,-8.793943597933903678e-02,1.159902269872427685e-02
3.449999999999999734e-01,9.903415333980438717e-01,-8.580186397066498494e-02,1.139415196433633468e-02
3.500000000000000333e-01,9.907990820819360112e-01,-8.373481709919153304e-02,1.116811510403818535e-02
3.550000000000000377e-01,9.911822769523596088e-01,-8.170542171840133872e-02,1.090468847474886441e-02
3.599999999999999867e-01,9.914990061831161494e-01,-7.970132891179203261e-02,1.062705610890577086e-02
3.650000000000000466e-01,9.917620088268291889e-01,-7.772760867022683595e-02,1.036233020729054009e-02
3.699999999999999956e-01,9.919847178217803263e-01,-7.580425732504145198e-02,1.013299769715087124e-02
3.750000000000000000e-01,9.921784269210676133e-01,-7.394934806011922712e-02,9.945920226478529094e-03
3.800000000000000044e-01,9.923517735348500457e-01,-7.217317730570856071e-02,9.791413822276689993e-03
3.850000000000000089e-01,9.925102593028283238e-01,-7.048298023728966077e-02,9.652896972505318682e-03
3.900000000000000133e-01,9.926575716190761955e-01,-6.888846119515448785e-02,9.518999811811153233e-03
3.950000000000000178e-01,9.927976317713448351e-01,-6.739360726374774013e-02,9.393122041840206923e-03
4.000000000000000222e-01,9.929337719218428449e-01,-6.599542967324184550e-02,9.277699101601775966e-03
4.049999999999999711e-01,9.930682410659441572e-01,-6.468824631968800309e-02,9.170509839940554908e-03
4.100000000000000311e-01,9.932032126461837196e-01,-6.346179710379712402e-02,9.065627376835685633e-03
4.150000000000000355e-01,9.933394308282561536e-01,-6.230411730703857426e-02,8.957011491880778262e-03
4.199999999999999845e-01,9.934759531054057069e-01,-6.120449219005843350e-02,8.841099990605253908e-03
4.250000000000000444e-01,9.936105438118859601e-01,-6.015437172421309042e-02,8.718175385587119408e-03
4.299999999999999933e-01,9.937410872953287289e-01,-5.914599896281842739e-02,8.593481403532223298e-03
4.349999999999999978e-01,9.938669230330456905e-01,-5.817334481858367490e-02,8.471426287284705356e-03
4.400000000000000577e-01,9.939879313856155862e-01,-5.723291649725484320e-02,8.353856559332512380e-03
4.450000000000000067e-01,9.941037456375052539e-01,-5.632249966827540533e-02,8.240504958372254010e-03
4.500000000000000111e-01,9.942140214110586349e-01,-5.544033189446882781e-02,8.130267331588210064e-03
4.550000000000000155e-01,9.943185968973935474e-01,-5.458401644734049707e-02,8.022484290963425094e-03
4.600000000000000200e-01,9.944173953575243807e-01,-5.375154705814659539e-02,7.917070160289462269e-03
4.650000000000000244e-01,9.945105176901022359e-01,-5.294175536106001528e-02,7.814630068180040967e-03
4.700000000000000289e-01,9.945981949572129110e-01,-5.215376187944698733e-02,7.714755658012371377e-03
4.750000000000000333e-01,9.946807517220643824e-01,-5.138647983259654606e-02,7.615906028486277984e-03
4.799999999999999822e-01,9.947586075071932488e-01,-5.063831253930345389e-02,7.516528764296988296e-03
4.849999999999999867e-01,9.948321420496148981e-01,-4.990733835050754214e-02,7.416082430955945465e-03
4.900000000000000466e-01,9.949018180748180340e-01,-4.919169678323248585e-02,7.315336873744592711e-03
4.950000000000000511e-01,9.949681520209560093e-01,-4.849025595746816325e-02,7.215612453580769886e-03
5.000000000000000000e-01,9.950316338485712953e-01,-4.780271064629462024e-02,7.118254893228898039e-03
5.050000000000000044e-01,9.950927466132999388e-01,-4.712906303842258338e-02,7.024004919791607821e-03
5.100000000000000089e-01,9.951518622165024253e-01,-4.646943642070919256e-02,6.932853801841649607e-03
5.150000000000000133e-01,9.952091707300809720e-01,-4.582394457234172797e-02,6.844368396512070553e-03
5.200000000000000178e-01,9.952647725033278991e-01,-4.519269519798101153e-02,6.758181834307739472e-03
5.250000000000000222e-01,9.953187748944926083e-01,-4.457565745842673871e-02,6.674149026929473288e-03
5.300000000000000266e-01,9.953712744075198238e-01,-4.397256374906503840e-02,6.592032699597099275e-03
5.350000000000000311e-01,9.954223501227659199e-01,-4.338297830516022607e-02,6.511529949115227658e-03
5.400000000000000355e-01,9.954720519447167737e-01,-4.280635473503596744e-02,6.432304312810671262e-03
5.449999999999999289e-01,9.955203905341583059e-01,-4.224209631473341275e-02,6.354035086913284794e-03
5.500000000000000444e-01,9.955673637803025278e-01,-4.168958557806013571e-02,6.276586964753713346e-03
5.550000000000000488e-01,9.956129597375483753e-01,-4.114826336453554501e-02,6.200100790333470599e-03
